"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 12 14:17:38 BDT 2024","Mon Aug 12 14:17:58 BDT 2024","19817","Default Suite","fanfare-allure-reporter","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","launchApp","launchApp","Launching the app"
"unknown","Mon Aug 12 16:00:17 BDT 2024","Mon Aug 12 16:00:17 BDT 2024","0","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","createPostWithTextNegativeTest","createPostWithTextNegativeTest","Create Post With Text Negative Test"
"unknown","Mon Aug 12 16:00:17 BDT 2024","Mon Aug 12 16:00:17 BDT 2024","0","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","createPostWithTextImagesPositiveTest","createPostWithTextImagesPositiveTest","Create Post With Text & Image(s) Positive Test"
"unknown","Mon Aug 12 16:00:17 BDT 2024","Mon Aug 12 16:00:17 BDT 2024","0","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","createPostWithTextImagesNegativeTest","createPostWithTextImagesNegativeTest","Create Post With Text & Image(s) Negative Test"
"passed","Mon Aug 12 16:02:05 BDT 2024","Mon Aug 12 16:02:08 BDT 2024","2766","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","CommunityTopFreshPostUnlikeTest","CommunityTopFreshPostUnlikeTest","Community Top Fresh Post Unlike Positive Test"
"passed","Mon Aug 12 14:18:27 BDT 2024","Mon Aug 12 14:18:48 BDT 2024","21070","Default Suite","fanfare-allure-reporter","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","loginNegativeTest","loginNegativeTest","E-MAIL LOGIN : NEGATIVE"
"broken","Mon Aug 12 14:17:22 BDT 2024","Mon Aug 12 14:17:22 BDT 2024","2","Default Suite","fanfare-allure-reporter","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","startAppiumServer","startAppiumServer","Starting the Appium server and setting up capabilities"
"passed","Mon Aug 12 14:17:58 BDT 2024","Mon Aug 12 14:18:27 BDT 2024","29330","Default Suite","fanfare-allure-reporter","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","fanfare.dev.FractionCodes2.AutoReportGeneratedClass","loginPositiveTest","loginPositiveTest","E-MAIL LOGIN : POSITIVE"
"unknown","Mon Aug 12 16:00:17 BDT 2024","Mon Aug 12 16:00:17 BDT 2024","1","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","createPostWithTextVideosNegativeTest","createPostWithTextVideosNegativeTest","Create Post With Text & Video(s) Negative Test"
"broken","Mon Aug 12 15:47:26 BDT 2024","Mon Aug 12 15:47:26 BDT 2024","1","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","setUp","setUp",""
"passed","Mon Aug 12 16:01:11 BDT 2024","Mon Aug 12 16:02:05 BDT 2024","53794","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","CommunityTopFreshPostLikeTest","CommunityTopFreshPostLikeTest","Community Top Fresh Post Like Positive Test"
"unknown","Mon Aug 12 16:00:17 BDT 2024","Mon Aug 12 16:00:17 BDT 2024","0","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","createPostWithTextVideosPositiveTest","createPostWithTextVideosPositiveTest","Create Post With Text & Video(s) Positive Test"
"unknown","Mon Aug 12 16:00:17 BDT 2024","Mon Aug 12 16:00:17 BDT 2024","0","Default Suite","fanfare-allure-reporter","fanfare.dev.timellne.CreatePost","fanfare.dev.timellne.CreatePost","createPostWithTextPositiveTest","createPostWithTextPositiveTest","Create Post With Text Positive Test"
